timestamp,country,cases,deaths
2020-09-25,MS Zaandam nan,9.0,2.0
2020-09-26,Diamond Princess nan,712.0,13.0
2020-09-26,MS Zaandam nan,9.0,2.0
2020-09-27,Diamond Princess nan,712.0,13.0
2020-09-27,MS Zaandam nan,9.0,2.0
2020-09-28,Diamond Princess nan,712.0,13.0
2020-09-28,MS Zaandam nan,9.0,2.0
2020-09-29,Diamond Princess nan,712.0,13.0
2020-09-29,MS Zaandam nan,9.0,2.0
2020-09-30,Diamond Princess nan,712.0,13.0
2020-09-30,MS Zaandam nan,9.0,2.0
2020-10-01,Diamond Princess nan,712.0,13.0
2020-10-01,MS Zaandam nan,9.0,2.0
2020-10-02,Diamond Princess nan,712.0,13.0
2020-10-02,MS Zaandam nan,9.0,2.0
2020-10-03,Diamond Princess nan,712.0,13.0
2020-10-03,MS Zaandam nan,9.0,2.0
