YearWeekISO,ReportingCountry,TargetGroup,TotalDosesSum
2021-02,BE,50-79yr,677939
2021-02,BG,50-79yr,97056
2021-02,CZ,50-79yr,782257
2021-02,DK,50-79yr,621775
2021-02,EE,50-79yr,5216
2021-02,EL,50-79yr,556056
2021-02,FI,50-79yr,220883
2021-02,FR,50-79yr,1678626
2021-02,HR,50-79yr,209681
2021-02,HU,50-79yr,616444
2021-02,IE,50-79yr,477318
2021-02,IS,50-79yr,34586
2021-02,IT,50-79yr,4796414
2021-02,LT,50-79yr,192652
2021-02,LU,50-79yr,14605
2021-02,LV,50-79yr,50357
2021-02,MT,50-79yr,47022
2021-02,PL,50-79yr,2140894
2021-02,PT,50-79yr,474222
2021-02,SE,50-79yr,478584
2021-02,SI,50-79yr,197400
2021-03,AT,50-79yr,1183073
2021-03,BE,50-79yr,1638947
2021-03,BG,50-79yr,136564
2021-03,CZ,50-79yr,1355163
2021-03,DK,50-79yr,792307
2021-03,EE,50-79yr,33133
2021-03,EL,50-79yr,991324
2021-03,FI,50-79yr,423611
2021-03,FR,50-79yr,4321727
2021-03,HR,50-79yr,309874
2021-03,HU,50-79yr,856840
2021-03,IE,50-79yr,755993
2021-03,IS,50-79yr,62347
2021-03,IT,50-79yr,6796703
2021-03,LT,50-79yr,261893
2021-03,LU,50-79yr,32077
2021-03,LV,50-79yr,71509
